OrderID,UserID,OrderNumber,OrderDate,OrderStatusID,CurrencyID,SubtotalAmount,ShippingAmount,TaxAmount,DiscountAmount,TotalAmount,PaymentMethodID,PaymentTransactionID,ShippingMethodID,TrackingNumber,BillingAddressID,ShippingAddressID,CustomerNotes,InternalNotes,IsGuestCheckout,IPAddress,UserAgent,CompletedDate,CancelledDate,CreatedDate,ModifiedDate
1,1,OrderNumber_1,2023-02-02,1,1,1,1,1,1,1,1,PaymentTransactionID_1,1,TrackingNumber_1,1,1,CustomerNotes_1,InternalNotes_1,False,IPAddress_1,UserAgent_1,2023-02-02,2023-02-02,2023-02-02,2023-02-02
2,2,OrderNumber_2,2023-03-03,2,2,2,2,2,2,2,2,PaymentTransactionID_2,2,TrackingNumber_2,2,2,CustomerNotes_2,InternalNotes_2,True,IPAddress_2,UserAgent_2,2023-03-03,2023-03-03,2023-03-03,2023-03-03
3,3,OrderNumber_3,2023-04-04,3,3,3,3,3,3,3,3,PaymentTransactionID_3,3,TrackingNumber_3,3,3,CustomerNotes_3,InternalNotes_3,False,IPAddress_3,UserAgent_3,2023-04-04,2023-04-04,2023-04-04,2023-04-04
4,4,OrderNumber_4,2023-05-05,4,4,4,4,4,4,4,4,PaymentTransactionID_4,4,TrackingNumber_4,4,4,CustomerNotes_4,InternalNotes_4,True,IPAddress_4,UserAgent_4,2023-05-05,2023-05-05,2023-05-05,2023-05-05
5,5,OrderNumber_5,2023-06-06,5,5,5,5,5,5,5,5,PaymentTransactionID_5,5,TrackingNumber_5,5,5,CustomerNotes_5,InternalNotes_5,False,IPAddress_5,UserAgent_5,2023-06-06,2023-06-06,2023-06-06,2023-06-06
6,6,OrderNumber_6,2023-07-07,6,6,6,6,6,6,6,6,PaymentTransactionID_6,6,TrackingNumber_6,6,6,CustomerNotes_6,InternalNotes_6,True,IPAddress_6,UserAgent_6,2023-07-07,2023-07-07,2023-07-07,2023-07-07
7,7,OrderNumber_7,2023-08-08,7,7,7,7,7,7,7,7,PaymentTransactionID_7,7,TrackingNumber_7,7,7,CustomerNotes_7,InternalNotes_7,False,IPAddress_7,UserAgent_7,2023-08-08,2023-08-08,2023-08-08,2023-08-08
8,8,OrderNumber_8,2023-09-09,8,8,8,8,8,8,8,8,PaymentTransactionID_8,8,TrackingNumber_8,8,8,CustomerNotes_8,InternalNotes_8,True,IPAddress_8,UserAgent_8,2023-09-09,2023-09-09,2023-09-09,2023-09-09
9,9,OrderNumber_9,2023-10-10,9,9,9,9,9,9,9,9,PaymentTransactionID_9,9,TrackingNumber_9,9,9,CustomerNotes_9,InternalNotes_9,False,IPAddress_9,UserAgent_9,2023-10-10,2023-10-10,2023-10-10,2023-10-10
10,10,OrderNumber_10,2023-11-11,10,10,10,10,10,10,10,10,PaymentTransactionID_10,10,TrackingNumber_10,10,10,CustomerNotes_10,InternalNotes_10,True,IPAddress_10,UserAgent_10,2023-11-11,2023-11-11,2023-11-11,2023-11-11
13,5,Order912,2023-07-07,9,5,5.51999299151703,5.55882527105245,6.604474781794565,4.974103474783578,5.899885254284607,2,Payme567,2,Track289,6,6,Custoje,Intervs,True,IPAdd650,UserAra,2023-07-07,2023-07-07,2023-07-07,2023-07-07
11,10,Ordervc,2023-10-10,4,4,7.212764480716016,9.976029202870656,9.493608158284966,8.143038944763655,9.86843127005255,2,Paymela,3,Track636,9,10,Custopd,Interdi,False,IPAdd167,UserAwx,2023-10-10,2023-10-10,2023-10-10,2023-10-10
18,2,Orderti,2023-04-04,9,6,3.4368768340503353,3.372899179889267,2.7201668515133663,3.3448494109625653,2.5297147516835485,1,Payme595,1,Tracklh,3,2,Custo112,Interiw,False,IPAdd806,UserA621,2023-04-04,2023-04-04,2023-04-04,2023-04-04
17,10,Ordereb,2023-10-10,3,5,10.103439130920375,9.672685728892295,10.584947233431192,9.85333569656508,7.909326464766244,7,Payme216,5,Track594,10,9,Custori,Inter453,False,IPAdd219,UserAjt,2023-10-10,2023-10-10,2023-10-10,2023-10-10
24,2,Order869,2023-04-04,9,8,2.681842318232021,2.7725033571538984,3.3678754734915186,2.576824754694927,2.4554564617113104,1,Payme137,5,Trackxo,3,2,Custokd,Interrx,False,IPAddwx,UserAuf,2023-04-04,2023-04-04,2023-04-04,2023-04-04
14,8,Order927,2023-09-09,7,1,8.779697414910672,7.918958197833771,7.229412955088062,7.19116716003091,8.4405165976837,4,Paymenq,7,Trackch,7,7,Custo902,Intergs,True,IPAdd7,UserAko,2023-09-09,2023-09-09,2023-09-09,2023-09-09
15,5,Orderyk,2023-06-06,4,8,5.206505177882482,4.441077388647638,4.438843269242873,4.871671952093274,4.058049639893431,6,Payme771,3,Trackmd,5,4,Custo855,Inter20,False,IPAdddm,UserA975,2023-06-06,2023-06-06,2023-06-06,2023-06-06
20,4,Orderyb,2023-07-07,4,2,6.814149231083036,6.291205575806779,5.372507860533374,5.936546546270708,5.074534670662336,4,Payme701,1,Trackpz,6,6,Custo580,Interpy,True,IPAdd439,UserAjy,2023-07-07,2023-07-07,2023-07-07,2023-07-07
