OrderItemID,OrderID,ProductID,VariantID,ProductName,SKU,Quantity,UnitPrice,UnitCost,Discount,TaxAmount,TotalAmount,FulfillmentStatus
1,101,201,,Wireless Mouse,WM-001,2,25.99,15.0,5.0,3.0,49.98,Pending
2,102,202,301,Gaming Keyboard,GK-002,1,75.0,50.0,0.0,7.5,82.5,Shipped
3,103,203,302,USB-C Hub,UH-003,3,19.99,10.0,0.0,3.0,59.97,Delivered
4,104,204,,Bluetooth Speaker,BS-004,2,45.0,30.0,10.0,4.5,79.0,Pending
5,105,205,303,Smartphone Stand,SS-005,5,9.99,5.0,2.5,2.5,47.45,Cancelled
6,106,206,,Laptop Sleeve,LS-006,1,29.99,20.0,0.0,3.0,32.99,Shipped
7,107,207,304,Wireless Charger,WC-007,4,15.99,8.0,4.0,2.56,61.52,Delivered
8,108,208,,Portable SSD,PS-008,2,99.99,70.0,10.0,9.0,189.98,Pending
9,109,209,305,Noise Cancelling Headphones,NH-009,1,199.99,120.0,20.0,18.0,197.99,Shipped
10,110,210,,Smartwatch,SW-010,1,149.99,100.0,15.0,13.5,148.49,Delivered
