CartItemID,CartID,ProductID,VariantID,Quantity,UnitPrice,AddedDate
1,101,1001,2001,2,19.99,2023-10-01T10:15:30
2,102,1002,2002,1,49.99,2023-10-02T11:20:45
3,103,1003,,3,29.95,2023-10-03T12:25:50
4,104,1004,2004,5,9.99,2023-10-04T13:30:15
5,105,1005,2005,2,15.49,2023-10-05T14:35:25
6,106,1006,,4,12.0,2023-10-06T15:40:30
7,107,1007,2007,1,99.99,2023-10-07T16:45:35
8,108,1008,2008,6,5.99,2023-10-08T17:50:40
9,109,1009,,2,24.95,2023-10-09T18:55:45
10,110,1010,2010,7,3.5,2023-10-10T19:00:50
