WishListItemID,WishListID,ProductID,VariantID,AddedDate,Notes
1,101,1001,2001,2023-10-01T14:23:00,Birthday gift idea
2,102,1002,,2023-10-02T09:15:00,For the living room
3,103,1003,2003,2023-10-03T17:45:00,Consider for holiday sale
4,101,1004,,2023-10-04T11:30:00,Backup option
5,104,1005,2005,2023-10-05T08:00:00,For the kitchen
6,105,1006,,2023-10-06T13:20:00,Check reviews first
7,102,1007,2007,2023-10-07T10:10:00,
8,106,1008,,2023-10-08T15:55:00,Gift for mom
9,107,1009,2009,2023-10-09T12:40:00,On sale next week
10,108,1010,,2023-10-10T18:30:00,Check compatibility
